time_period,total_load,cell_barring,cell_radius
403,52.47304053691437,1,100
404,52.54833858872731,1,100
405,52.48252326488567,1,100
406,52.57680016140401,1,100
407,52.623473694914125,1,100
408,52.59305238330572,1,100
409,52.55017690088591,1,100
410,52.56926414716781,1,100
411,52.55133673317152,1,100
412,52.501183855211984,1,100
413,52.4969127765856,1,100
414,52.53167145182828,1,100
415,52.608690350305864,1,100
416,52.591882630701704,1,100
417,52.626442055608486,1,100
418,52.66394973545775,1,100
419,52.62887448771652,1,100
420,52.61056563325961,1,100
421,52.54674879678413,1,100
422,52.57162070139851,1,100
423,52.56655025557045,1,100
424,52.48951017372773,1,100
425,52.45029020796076,1,100
426,52.41839955541262,1,100
427,52.385119258498605,1,100
428,52.34397862429768,1,100
429,52.35814790337263,1,100
430,52.42349303667447,1,100
431,52.438984266481135,1,100
432,52.45207717291554,1,100
433,52.55991456478941,1,100
434,52.438666798586326,1,100
435,52.504286824776074,1,100
436,52.487161584238855,1,100
437,52.55756807505818,1,100
438,52.47192495390652,1,100
439,52.443276933873435,1,100
440,52.44582894597283,1,100
441,52.47766067862957,1,100
442,52.45316629676545,1,100
443,52.43745541707178,1,100
444,52.46429746793459,1,100
445,52.50732553371372,1,100
446,52.603901883779066,1,100
447,52.612612848260895,1,100
448,52.72701321124423,1,100
449,52.76066513951622,1,100
450,52.75901461192889,1,100
451,52.715255412588576,1,100
452,52.73314534554312,1,100
453,52.77077484112263,1,100
454,52.74678049830485,1,100
455,52.738274425911726,1,100
456,52.778128159977186,1,100
457,52.79086451813258,1,100
458,52.80766400485797,1,100
459,52.889250954153304,1,100
460,52.841053786101526,1,100
461,52.83185943467541,1,100
462,52.81493099017429,1,100
463,52.81994997448647,1,100
464,52.757713196889995,1,100
465,52.71491874617881,1,100
466,52.74811564526794,1,100
467,52.64949240270776,1,100
468,52.741518418315636,1,100
469,52.91932797906678,1,100
470,52.81279893971174,1,100
471,52.889446048899664,1,100
472,52.9484085545598,1,100
